PARTNERS,TYPE,TREATMEN,LONGEV,LLONGEV,THORAX,RESID1,PREDICT1,RESID2,PREDICT2
1,0,3,65,1.812913357,0.72,14.542434,50.457566,0.139793366,1.67311999
1,0,3,46,1.662757832,0.76,-9.890306154,55.89030615,-0.058116268,1.7208741
1,0,3,58,1.763427994,0.76,2.109693846,55.89030615,0.042553894,1.7208741
1,0,3,42,1.62324929,0.8,-19.3230463,61.3230463,-0.145378919,1.768628209
1,0,3,48,1.681241237,0.8,-13.3230463,61.3230463,-0.087386972,1.768628209
1,0,3,58,1.763427994,0.8,-3.323046304,61.3230463,-0.005200216,1.768628209
1,0,3,50,1.698970004,0.82,-14.03941638,64.03941638,-0.09353526,1.792505264
1,0,3,80,1.903089987,0.82,15.96058362,64.03941638,0.110584723,1.792505264
1,0,3,63,1.799340549,0.84,-3.755786454,66.75578645,-0.01704177,1.816382319
1,0,3,65,1.812913357,0.84,-1.755786454,66.75578645,-0.003468962,1.816382319
1,0,3,70,1.84509804,0.84,3.244213546,66.75578645,0.028715721,1.816382319
1,0,3,70,1.84509804,0.84,3.244213546,66.75578645,0.028715721,1.816382319
1,0,3,72,1.857332496,0.84,5.244213546,66.75578645,0.040950177,1.816382319
1,0,3,97,1.986771734,0.84,30.24421355,66.75578645,0.170389415,1.816382319
1,0,3,46,1.662757832,0.88,-26.1885266,72.1885266,-0.201378597,1.864136429
1,0,3,56,1.748188027,0.88,-16.1885266,72.1885266,-0.115948402,1.864136429
1,0,3,70,1.84509804,0.88,-2.188526604,72.1885266,-0.019038389,1.864136429
1,0,3,70,1.84509804,0.88,-2.188526604,72.1885266,-0.019038389,1.864136429
1,0,3,72,1.857332496,0.88,-0.188526604,72.1885266,-0.006803932,1.864136429
1,0,3,76,1.880813592,0.88,3.811473396,72.1885266,0.016677164,1.864136429
1,0,3,90,1.954242509,0.88,17.8114734,72.1885266,0.090106081,1.864136429
1,0,3,76,1.880813592,0.92,-1.621266753,77.62126675,-0.031076946,1.911890538
1,0,3,92,1.963787827,0.92,14.37873325,77.62126675,0.051897289,1.911890538
1,1,4,21,1.322219295,0.68,-14.35500381,35.35500381,-0.226736174,1.548955468
1,1,4,40,1.602059991,0.68,4.64499619,35.35500381,0.053104523,1.548955468
1,1,4,44,1.643452676,0.72,3.21225604,40.78774396,0.046743099,1.596709578
1,1,4,54,1.73239376,0.76,7.77951589,46.22048411,0.087930072,1.644463688
1,1,4,36,1.556302501,0.78,-12.93685418,48.93685418,-0.112038242,1.668340742
1,1,4,40,1.602059991,0.8,-11.65322426,51.65322426,-0.090157806,1.692217797
1,1,4,56,1.748188027,0.8,4.346775741,51.65322426,0.05597023,1.692217797
1,1,4,60,1.77815125,0.8,8.346775741,51.65322426,0.085933453,1.692217797
1,1,4,48,1.681241237,0.84,-9.085964409,57.08596441,-0.058730669,1.739971907
1,1,4,53,1.72427587,0.84,-4.085964409,57.08596441,-0.015696037,1.739971907
1,1,4,60,1.77815125,0.84,2.914035591,57.08596441,0.038179344,1.739971907
1,1,4,60,1.77815125,0.84,2.914035591,57.08596441,0.038179344,1.739971907
1,1,4,65,1.812913357,0.84,7.914035591,57.08596441,0.07294145,1.739971907
1,1,4,68,1.832508913,0.84,10.91403559,57.08596441,0.092537006,1.739971907
1,1,4,60,1.77815125,0.88,-2.518704559,62.51870456,-0.009574766,1.787726016
1,1,4,81,1.908485019,0.88,18.48129544,62.51870456,0.120759003,1.787726016
1,1,4,81,1.908485019,0.88,18.48129544,62.51870456,0.120759003,1.787726016
1,1,4,48,1.681241237,0.9,-17.23507463,65.23507463,-0.130361834,1.811603071
1,1,4,48,1.681241237,0.9,-17.23507463,65.23507463,-0.130361834,1.811603071
1,1,4,56,1.748188027,0.9,-9.235074634,65.23507463,-0.063415044,1.811603071
1,1,4,68,1.832508913,0.9,2.764925366,65.23507463,0.020905842,1.811603071
1,1,4,75,1.875061263,0.9,9.764925366,65.23507463,0.063458192,1.811603071
1,1,4,81,1.908485019,0.9,15.76492537,65.23507463,0.096881948,1.811603071
1,1,4,48,1.681241237,0.92,-19.95144471,67.95144471,-0.154238889,1.835480126
1,1,4,68,1.832508913,0.92,0.048555292,67.95144471,-0.002971213,1.835480126
8,1,5,16,1.204119983,0.64,-0.989039401,16.9890394,-0.169246273,1.373366255
8,1,5,19,1.278753601,0.64,2.010960599,16.9890394,-0.094612654,1.373366255
8,1,5,19,1.278753601,0.68,-3.421779551,22.42177955,-0.142366764,1.421120365
8,1,5,32,1.505149978,0.72,4.145480299,27.8545197,0.036275504,1.468874475
8,1,5,33,1.51851394,0.72,5.145480299,27.8545197,0.049639465,1.468874475
8,1,5,33,1.51851394,0.74,2.429110225,30.57088978,0.025762411,1.492751529
8,1,5,30,1.477121255,0.76,-3.28725985,33.28725985,-0.039507329,1.516628584
8,1,5,42,1.62324929,0.76,8.71274015,33.28725985,0.106620706,1.516628584
8,1,5,42,1.62324929,0.76,8.71274015,33.28725985,0.106620706,1.516628584
8,1,5,33,1.51851394,0.78,-3.003629925,36.00362993,-0.021991699,1.540505639
8,1,5,26,1.414973348,0.8,-12.72,38.72,-0.149409346,1.564382694
8,1,5,30,1.477121255,0.8,-8.72,38.72,-0.087261439,1.564382694
8,1,5,40,1.602059991,0.82,-1.436370075,41.43637007,0.013800243,1.588259749
8,1,5,54,1.73239376,0.82,12.56362993,41.43637007,0.144134011,1.588259749
8,1,5,34,1.531478917,0.84,-10.15274015,44.15274015,-0.080657886,1.612136803
8,1,5,34,1.531478917,0.84,-10.15274015,44.15274015,-0.080657886,1.612136803
8,1,5,47,1.672097858,0.84,2.84725985,44.15274015,0.059961055,1.612136803
8,1,5,47,1.672097858,0.84,2.84725985,44.15274015,0.059961055,1.612136803
8,1,5,42,1.62324929,0.88,-7.585480299,49.5854803,-0.036641623,1.659890913
8,1,5,47,1.672097858,0.88,-2.585480299,49.5854803,0.012206945,1.659890913
8,1,5,54,1.73239376,0.88,4.414519701,49.5854803,0.072502847,1.659890913
8,1,5,54,1.73239376,0.88,4.414519701,49.5854803,0.072502847,1.659890913
8,1,5,56,1.748188027,0.88,6.414519701,49.5854803,0.088297114,1.659890913
8,1,5,60,1.77815125,0.88,10.4145197,49.5854803,0.118260337,1.659890913
8,1,5,44,1.643452676,0.92,-11.01822045,55.01822045,-0.064192346,1.707645023
