DATE,SEASON,SEASNUM,STREAM,STREAMNUM,REACH,HABITAT,TOTDENS,LENGTH,AREA,WIDTH,DEPTH,VELOCITY,SUBSTRATE,VOLUME
6/3/2002,June,6,Tomahawk,5,5,Pool,1.165665842,29.8,113.24,3.8,33.25,0.625,3.791666667,37.6523
6/3/2002,June,6,Tomahawk,5,6,Riffle,1.102362205,50.8,234.95,4.625,8.25,8.25,3.416666667,19.383375
6/3/2002,June,6,Tomahawk,5,7,Pool,1.631256031,35.9,235.4014286,6.557142857,37.04761905,0.142857143,3.904761905,87.21062449
6/3/2002,June,6,Tomahawk,5,8,Run,4.68251518,20.5,97.17,4.74,24.86666667,2.066666667,4.066666667,24.16294
6/5/2002,June,6,Water,6,1,Riffle,0.920739455,64.6,372.5266667,5.766666667,11.74074074,8.037037037,3.740740741,43.73739012
6/5/2002,June,6,Water,6,2,Run,1.741004808,37,201.0333333,5.433333333,26.33333333,2.111111111,3.333333333,52.93877778
6/5/2002,June,6,Water,6,3,Riffle,1.465706232,15.5,106.4333333,6.866666667,11,4,3.666666667,11.70766667
6/5/2002,June,6,Water,6,4,Riffle,0.990786191,28.9,198.832,6.88,13.26666667,1.266666667,3.2,26.37837867
6/5/2002,June,6,Water,6,5,Run,1.048170969,74.5,396.8818182,5.327272727,10.84848485,10.03030303,4.272727273,43.05566391
6/5/2002,June,6,Water,6,6,,1.864516129,31,155,5,24.33333333,0.4,4.266666667,37.71666667
6/5/2002,June,6,Water,6,7,,3.101826732,28.5,110.58,3.88,14.26666667,8.066666667,3.6,15.77608
6/6/2002,June,6,Spring,7,7,Pool,0.065203217,21.4,46.01,2.15,8.75,0.833333333,3.083333333,4.025875
6/6/2002,June,6,Spring,7,8,Riffle,0.208686579,18.7,57.5025,3.075,6.25,0.25,3.166666667,3.59390625
7/29/2002,August,8,Bear,1,1,Run,2.181773859,16.3,82.04333333,5.033333333,12.33333333,3.333333333,4.333333333,10.11867778
7/29/2002,August,8,Bear,1,2,Pool,1.07458604,35.4,245.676,6.94,24.06666667,0.6,5.333333333,59.126024
7/29/2002,August,8,Bear,1,3,Riffle,0.563168276,50.7,330.2742857,6.514285714,14.42857143,4.80952381,4.666666667,47.65386122
7/29/2002,August,8,Bear,1,4,Pool,1.530323068,15.8,70.57333333,4.466666667,30.55555556,0.777777778,5.222222222,21.56407407
7/29/2002,August,8,Bear,1,5,Riffle,1.928278073,46.9,199.66,4.257142857,13.85714286,9.238095238,4.761904762,27.66717143
7/29/2002,August,8,Bear,1,6,Run,2.972632903,18.7,105.9666667,5.666666667,29.22222222,1.111111111,5,30.96581481
7/31/2002,August,8,Cave,2,1,Pool,3.569185084,27.3,245.154,8.98,16.13333333,0,4.066666667,39.551512
7/31/2002,August,8,Cave,2,2,Riffle,0.78009828,111,976.8,8.8,9.95,2.483333333,4.35,97.1916
7/31/2002,August,8,Cave,2,3,Pool,0.976211849,32,297.0666667,9.283333333,59.55555556,0.055555556,4.777777778,176.9197037
7/31/2002,August,8,Cave,2,4,Riffle,2.75,22,88,4,10,3.533333333,4.8,8.8
7/31/2002,August,8,Cave,2,5,Run,2.20953116,36.5,185.1071429,5.071428571,17.28571429,3.095238095,3.857142857,31.99709184
7/30/2002,August,8,Falling,3,1,Run,2.353793228,26.3,88.368,3.36,13,11.26666667,5.8,11.48784
7/30/2002,August,8,Falling,3,2,Riffle,0.707397202,11.2,125.8133333,11.23333333,5.666666667,3,4.444444444,7.129422222
7/30/2002,August,8,Falling,3,3,Pool,0.151788255,41.5,329.40625,7.9375,35.20833333,0.208333333,5.375,115.9784505
7/30/2002,August,8,Falling,3,4,Riffle,0.514706627,39.4,246.7425,6.2625,11.91666667,9.833333333,4.291666667,29.40348125
7/30/2002,August,8,Falling,3,5,Run,0.313700886,31.1,255.02,8.2,10.95238095,5.047619048,3.904761905,27.9307619
7/30/2002,August,8,Falling,3,6,Pool,0.028971399,18.8,172.584,9.18,44.2,0,5.333333333,76.282128
7/30/2002,August,8,Falling,3,7,Run,0.569105691,20.5,110.7,5.4,27.16666667,3,5.333333333,30.0735
7/30/2002,August,8,Falling,3,8,Riffle,0.214126649,21.1,140.104,6.64,15.73333333,9.066666667,4.333333333,22.04302933
7/16/2002,August,8,Sylamore,4,1,Riffle,0.831238478,19.5,223.7625,11.475,13.83333333,3,4,30.9538125
7/16/2002,August,8,Sylamore,4,2,Pool,0.159579644,23.9,256.925,10.75,60.41666667,0.333333333,4.5,155.2255208
7/16/2002,August,8,Sylamore,4,3,Pool,0.121309678,36.9,428.655,11.61666667,41.83333333,0.333333333,4.055555556,179.320675
7/16/2002,August,8,Sylamore,4,4,Run,0.273053518,49.3,410.176,8.32,16.66666667,7.766666667,3.666666667,68.36266667
7/16/2002,August,8,Sylamore,4,5,Riffle,0.66001155,39.1,348.47875,8.9125,12.79166667,12.625,3.875,44.5762401
8/1/2002,August,8,Tomahawk,5,1,Run,1.879275351,21.2,133.03,6.275,9.833333333,1.333333333,4.416666667,13.08128333
8/1/2002,August,8,Tomahawk,5,2,Riffle,3.456325301,16.6,88.53333333,5.333333333,16.33333333,1.666666667,5,14.46044444
8/1/2002,August,8,Tomahawk,5,3,Run,2.476429168,17.1,100.548,5.88,20.26666667,0.266666667,5,20.377728
8/1/2002,August,8,Tomahawk,5,4,Riffle,0.58793456,14.4,78.24,5.433333333,8.333333333,3,4.333333333,6.52
8/1/2002,August,8,Tomahawk,5,5,Pool,1.909353905,30.5,103.7,3.4,33.05555556,0.055555556,3.833333333,34.27861111
8/1/2002,August,8,Tomahawk,5,6,Riffle,0.718934911,16.9,112.6666667,6.666666667,5.555555556,5.444444444,4.111111111,6.259259259
8/1/2002,August,8,Tomahawk,5,7,Pool,4.148751603,37.8,265.14,7.014285714,40.42857143,0.047619048,3.80952381,107.1923143
8/1/2002,August,8,Tomahawk,5,8,Run,2.140754616,22.2,134.532,6.06,25.2,0,4.2,33.902064
7/28/2002,August,8,Water,6,1,Riffle,2.472125436,70,382.6666667,5.466666667,10.83333333,6.277777778,3.611111111,41.45555556
7/28/2002,August,8,Water,6,2,Pool,1.650972239,29.6,163.54,5.525,24.16666667,0,4,39.52216667
7/28/2002,August,8,Water,6,3,Riffle,1.142607393,18.2,106.7733333,5.866666667,9,6,3.777777778,9.6096
7/28/2002,August,8,Water,6,4,Run,1.159038163,27.9,182.0475,6.525,8.166666667,0.333333333,4.083333333,14.8672125
7/28/2002,August,8,Water,6,5,Riffle,1.567307134,74.9,373.2516667,4.983333333,8.361111111,2,4.027777778,31.20798657
7/28/2002,August,8,Water,6,6,Pool,3.165952235,34.5,163.3,4.733333333,21.77777778,0.166666667,4.388888889,35.56311111
7/28/2002,August,8,Water,6,7,Riffle,2.988859705,30.5,110.41,3.62,10.26666667,4.333333333,3.933333333,11.33542667
10/6/2002,October,10,Bear,1,1,Pool,1.123876124,15.4,32.032,2.08,11.13333333,0,4.4,3.566229333
10/6/2002,October,10,Bear,1,2,Pool,4.811039181,45.3,219.9109091,4.854545455,15.45454545,0,5.575757576,33.9862314
10/6/2002,October,10,Bear,1,3,Riffle,3.103401545,42.3,73.79,1.744444444,6.37037037,0,4.62962963,4.700696296
10/6/2002,October,10,Bear,1,4,Pool,7.787584365,19.4,44.94333333,2.316666667,14.16666667,0,4.888888889,6.366972222
10/6/2002,October,10,Bear,1,5,Riffle,0.315315315,22.2,15.85714286,0.714285714,2.523809524,0,4.142857143,0.400204082
10/6/2002,October,10,Bear,1,6,Run,4.084249988,20.9,50.6825,2.425,5.958333333,0.125,5.625,3.019832292
10/7/2002,October,10,Cave,2,1,Pool,10.7332501,27,150.1875,5.5625,10.625,0,3.916666667,15.95742188
10/7/2002,October,10,Cave,2,2,Riffle,5.939814473,43.7,95.62588235,2.188235294,7.098039216,0,3.901960784,6.78756263
10/7/2002,October,10,Cave,2,3,Pool,9.899433289,26.7,152.635,5.716666667,19.61111111,0,5.444444444,29.93341944
9/30/2002,October,10,Falling,3,1,Run,3.711122826,27.1,53.353125,1.96875,6.75,0.458333333,5.333333333,3.601335938
9/30/2002,October,10,Falling,3,2,Riffle,1.317330211,12.2,20.496,1.68,6.266666667,0.333333333,4.133333333,1.284416
9/30/2002,October,10,Falling,3,3,Pool,0.784081405,42.2,255.0755556,6.044444444,27.66666667,0.037037037,5.185185185,70.5709037
9/30/2002,October,10,Falling,3,4,Riffle,1.156074148,38,109.8545455,2.890909091,5.696969697,0.696969697,4.333333333,6.258380165
9/30/2002,October,10,Falling,3,5,Riffle,0.80507796,29.8,196.2542857,6.585714286,4.238095238,0.238095238,4.238095238,8.317443537
9/30/2002,October,10,Falling,3,6,Pool,1.028217287,36.1,212.99,5.9,23.66666667,0.037037037,5.074074074,50.40763333
9/30/2002,October,10,Falling,3,7,Riffle,1.464726059,16.1,53.935,3.35,11.33333333,0.277777778,4.777777778,6.112633333
9/30/2002,October,10,Falling,3,8,,0.331969566,14.4,111.456,7.74,8,0,4,8.91648
10/5/2002,October,10,Sylamore,4,1,Run,0.789661613,16.4,145.632,8.88,9.8,2.533333333,4,14.271936
10/5/2002,October,10,Sylamore,4,2,Pool,0.469636154,59,615.37,10.43,40.06666667,0.066666667,4.433333333,246.5582467
10/5/2002,October,10,Sylamore,4,4,Run,0.716832589,50.1,323.646,6.46,12.76666667,2.9,3.6,41.318806
10/4/2002,October,10,Tomahawk,5,1,Run,2.46997626,21.7,114.576,5.28,12.46666667,1.066666667,3.866666667,14.283808
10/4/2002,October,10,Tomahawk,5,2,Run,4.329004329,14.6,84.315,5.775,18.75,1.416666667,4.333333333,15.8090625
10/4/2002,October,10,Tomahawk,5,3,Pool,3.321256039,19.2,105.984,5.52,21.13333333,0.066666667,4.866666667,22.397952
10/4/2002,October,10,Tomahawk,5,4,Riffle,0.734508547,16,74.88,4.68,8.4,1.6,4.6,6.28992
10/4/2002,October,10,Tomahawk,5,5,Pool,2.197952218,29.3,104.6428571,3.571428571,27.19047619,0.952380952,4.047619048,28.45289116
10/4/2002,October,10,Tomahawk,5,6,Riffle,0.342262521,29.1,90.57375,3.1125,5.375,4.708333333,3.916666667,4.868339063
10/4/2002,October,10,Tomahawk,5,7,Pool,2.450120727,38.7,295.0875,7.625,40.33333333,0,4.208333333,119.018625
10/4/2002,October,10,Tomahawk,5,8,Run,3.119546585,22.1,129.506,5.86,28,0.333333333,3.466666667,36.26168
10/2/2002,October,10,Water,6,1,Riffle,1.200699785,62.6,364.7872727,5.827272727,9.727272727,3.121212121,3.696969697,35.48385289
10/2/2002,October,10,Water,6,2,Pool,2.014912804,35.4,186.6085714,5.271428571,20.28571429,0.904761905,3.380952381,37.85488163
10/2/2002,October,10,Water,6,3,Riffle,1.575803787,17.2,78.69,4.575,7.75,5.166666667,3.75,6.098475
10/2/2002,October,10,Water,6,4,Run,1.209739166,27.4,195.91,7.15,11.88888889,0.111111111,3.277777778,23.29152222
10/2/2002,October,10,Water,6,5,Run,1.567785805,72.4,336.1428571,4.642857143,8.476190476,2.30952381,4.023809524,28.49210884
10/2/2002,October,10,Water,6,6,Pool,4.176525662,37.9,167.8428571,4.428571429,23.14285714,0,4.380952381,38.84363265
